SMILES Name
102 CN1CCN(C(=O)[C@@H]2CCCC[C@H]2C(=O)NCC#N)CC1
103 CCCn1c(=O)c(C#N)nn(C2CCCCCC2)c1=O
104 CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)NCC#N
105 CC(C)C[C@H](Nc1cscc1Br)C(=O)NCC#N
106 N#CN1CCC(NS(=O)(=O)c2ccccc2)C1
107 N#Cc1nccc(-c2ccc(OCCCO)c(C(F)(F)F)c2)n1
108 N#Cc1nc(Nc2cccc(F)c2)nc(N2CCOCC2)n1
109 CC(C)C[C@H](NC(=O)c1ccccc1)C(=O)NCC#N
110 CC(C)CC(Nc1ccccc1Br)C(=O)NCC#N
111 CC(C)C(NC(=O)OC(C)(C)C)C(=O)N1CCCCN1C#N
112 N#Cc1nc(N2CCCC2)c(N)c(N2CCOCC2)n1
113 Cc1cccc(CNc2nc(C#N)nc(NC3CCCCC3)n2)c1
114 CC(C)CNc1nc(C#N)nc(NCc2nnn[nH]2)c1N
115 N#Cc1ccc(Nc2nc(C#N)nc(NC3CCCCC3)n2)cc1
116 N#Cc1nc(NC[C@H](O)c2ccccc2)nc(N2CCNCC2)n1
117 CC(C)(C)CN(Cc1ccccc1)c1ccnc(C#N)n1
118 N#Cc1nc(NC[C@H](O)c2ccccc2)nc(NC2CCCCC2)n1
119 CC(C)CC(Nc1cccc(Br)c1)C(=O)NCC#N
120 CCCn1c(=O)c(C#N)nn(-c2cccc(C(C)C)c2)c1=O
121 N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCCCC1
122 COc1ccc(OC)c(S(=O)(=O)N[C@@H]2CCN(C#N)C2)c1
123 N#Cc1nc(NCCc2ccccc2)nc(NC2CCCCC2)n1
124 N#CN1CCC(NS(=O)(=O)c2ccccc2)C1
125 N#CCNC(=O)[C@@H]1CCCC[C@H]1CSc1ccc(N)cc1
126 N#Cc1nc(Nc2cccc(F)c2)nc(NC2CCNCC2)n1
127 CN(C)CCCn1c(=O)c(C#N)nn(C2CCCCCC2)c1=O
128 N#Cc1nc(Nc2ccccc2)c(N)c(N2CCOCC2)n1
129 CCCc1cc(-c2cccc(S(C)(=O)=O)c2)nc(C#N)n1
130 N#Cc1nc(CCC(=O)O)cc(-c2cccc(C(F)(F)F)c2)n1
131 N#CCNC(=O)[C@@H]1CCCC[C@H]1CSc1ccccc1
132 CCCn1c(=O)c(C#N)nn(C2CCCCC2)c1=O
133 N#CN1CC[C@@H](NS(=O)(=O)c2ccccc2)C1
134 N#CN1CCC(CNS(=O)(=O)c2ccccc2)C1
135 CC[C@@H](CC1CCCCC1)OC(=O)N1CCC(NC#N)C1
136 CC(C)Nc1nc(C#N)nc(Nc2ccccc2)n1
137 COc1cccc(Nc2nc(C#N)nc(NC3CCNCC3)n2)c1
138 COc1cccc(Nc2nc(C#N)nc(N3CCOCC3)n2)c1
139 CC(C)CC(Nc1ccc(Br)cc1)C(=O)NCC#N
140 C[C@H]1C[C@@H](NS(=O)(=O)c2cccc(Br)c2)CN1C#N
141 CCCn1c(=O)c(C#N)nn(-c2cccc(C(C)(C)C)c2)c1=O
142 N#CN1CCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1
143 CCC(C)Nc1nc(C#N)nc(N2CCOCC2)c1N
144 CCCc1cc(-c2cccc(C(C)=O)c2)nc(C#N)n1
145 N#CCNC(=O)[C@@H]1CCCC[C@H]1CSc1cccc(O)c1
146 N#Cc1nc(NC2CCOC2)c(N)c(N2CCOCC2)n1
147 N#CCNC(=O)[C@@H]1CCCC[C@H]1CSc1cccc(F)c1
148 COc1cccc(SC[C@@H]2CCCC[C@H]2C(=O)NCC#N)c1
149 COc1ccc(Nc2nc(C#N)nc(N3CCOCC3)n2)cc1
150 N#CCNC(=O)[C@@H]1CCCC[C@H]1CSc1ncc[nH]1
151 COC(=O)[C@@H]1CN(C#N)C[C@H]1c1ccc(OC)c(OC2CCCC2)c1
